ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-03-12;0577395838;PROD002;4;1959.12
V00002;2025-03-06;0792589035;PROD009;6;5843.09
V00003;2025-02-25;0671696244;PROD014;2;1925.34
V00004;2025-02-23;0583395560;PROD012;10;4890.60
V00005;2025-03-11;0513861621;PROD007;6;830.94
V00006;2025-03-13;0253519328;PROD014;3;1719.35
V00007;2025-03-02;0040366188;PROD002;10;1506.78
V00008;2025-02-28;0320517126;PROD006;9;8494.17
V00009;2025-03-22;0541437720;PROD005;2;1580.58
V00010;2025-03-17;0414567288;PROD010;10;266.22
V00011;2025-03-14;0502095219;PROD003;2;1666.89
V00012;2025-03-02;0324311347;PROD014;8;556.69
V00013;2025-02-27;0485727999;PROD004;1;181.12
V00014;2025-03-04;0450701219;PROD002;1;323.87
V00015;2025-03-06;0513866573;PROD008;9;7965.21
V00016;2025-03-22;0675205985;PROD004;5;2564.98
V00017;2025-02-24;0732367726;PROD003;3;2802.91
V00018;2025-03-05;0412038600;PROD013;9;4504.75
V00019;2025-02-26;0535286030;PROD005;2;322.94
V00020;2025-03-19;0776673995;PROD007;5;4138.03
